,ext,name
133,"{'', '.js', '.bat', '.txt', '.yaml', '.css', '.json', '.sh', '.rendered', '.pyc', '.py'}",nbexamples-0.2.0-py34_0.tar.bz2
134,"{'', '.bat', '.txt', '.yaml', '.json', '.pyc', '.py'}",geojson-1.3.2-py34_0.tar.bz2
135,"{'', '.exe', '.txt', '.cfg', '.yaml', '.json', '.pth', '.pyc', '.py', '.py_tmpl'}",pastescript-2.0.2-py27_0.tar.bz2
136,"{'', '.ttf', '.html', '.woff2', '.js', '.xml', '.txt', '.png', '.mustache', '.woff', '.yaml', '.css', '.exe', '.json', '.svg', '.eot', '.ico', '.rendered', '.pyc', '.py'}",mkdocs-0.16.1-py27_0.tar.bz2
137,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",azure-servicemanagement-legacy-0.20.1-py27_0.tar.bz2
138,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py'}",geojsonio.py-0.0.2-py35_0.tar.bz2
139,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",rope-0.10.5-py36_0.tar.bz2
140,"{'', '.h', '.patch', '.bat', '.txt', '.yaml', '.json', '.sh', '.pc', '.template'}",xorg-libice-1.0.9-0.tar.bz2
141,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",oauth2client-4.1.1-py27_0.tar.bz2
142,"{'', '.h', '.patch', '.cmake', '.bat', '.txt', '.xml', '.lib', '.exe', '.yaml', '.dll', '.json', '.pyd', '.1', '.sh', '.pc', '.pyc', '.py', '.template'}",pyside-1.2.4-py36_vc14_5.tar.bz2
143,"{'', '.html', '.js', '.txt', '.png', '.yaml', '.css', '.json', '.gif', '.po', '.pyc', '.mo', '.py', '.template'}",django-debug-toolbar-1.8-py27_0.tar.bz2
144,"{'', '.txt', '.yaml', '.json', '.pyd', '.pyc', '.py', '.template'}",psutil-5.2.1-py36_0.tar.bz2
145,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",ipython-autotime-0.1-py36_0.tar.bz2
146,"{'', '.txt', '.png', '.qrc', '.ipynb', '.yaml', '.py', '.json', '.md', '.pyd', '.ui', '.tif', '.bmp', '.pyc', '.cfg', '.template'}",openpiv-0.20.6-np110py27_0.tar.bz2
