,ext,name
129,"{'', '.txt', '.h', '.pxd', '.rendered', '.py', '.so', '.pyc', '.json', '.yaml'}",sklearn-contrib-lightning-0.4.0-np111py27_0.tar.bz2
130,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",owslib-0.13.0-py35_0.tar.bz2
131,"{'', '.sh', '.txt', '.h', '.pxd', '.py', '.so', '.pyx', '.pyc', '.json', '.yaml', '.template'}",pyarrow-0.1.post-np111py34_5.tar.bz2
132,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",salib-1.0.1-py27_0.tar.bz2
133,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",aubio-0.4.4-np111py36_6.tar.bz2
134,"{'', '.sh', '.txt', '.py', '.js', '.pyc', '.json', '.bat', '.map', '.yaml'}",pythreejs-0.2.0-py34_0.tar.bz2
135,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",requests-2.17.3-py35_0.tar.bz2
136,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template', '.pth'}",ruamel.yaml-0.15.18-py27_0.tar.bz2
137,"{'', '.sh', '.txt', '.png', '.TXT', '.py', '.patch', '.rendered', '.jpg', '.so', '.pyc', '.shx', '.json', '.bat', '.dbf', '.yaml', '.nc', '.npz', '.shp'}",cartopy-0.14.2-np110py35_1.tar.bz2
138,"{'', '.c', '.txt', '.py', '.so', '.fam', '.pyc', '.json', '.yaml', '.template', '.bed', '.bim'}",pandas-plink-1.1.6-py35_0.tar.bz2
139,"{'', '.txt', '.png', '.csv', '.py', '.template', '.pyc', '.json', '.yaml', '.exr', '.spdx'}",colour-science-0.3.8-py35_0.tar.bz2
140,"{'', '.sh', '.h', '.py', '.rendered', '.so', '.6', '.json', '.bat', '.yaml'}",kealib-1.4.6-2.tar.bz2
141,"{'', '.py', '.rendered', '.so', '.pyc', '.egg-info', '.json', '.yaml'}",regex-2016.07.21-py35_0.tar.bz2
142,"{'', '.c', '.txt', '.h', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",python-levenshtein-0.12.0-py36_0.tar.bz2
143,"{'', '.sh', '.eot', '.manifest', '.txt', '.svg', '.woff', '.ttf', '.css', '.html', '.gif', '.py', '.woff2', '.js', '.ts', '.pyc', '.json', '.bat', '.map', '.yaml', '.template'}",jupyterlab-0.17.0-py35_0.tar.bz2
144,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",munch-2.0.4-py36_0.tar.bz2
145,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",factory_boy-2.8.1-py36_0.tar.bz2
146,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template', '.dat'}",ftfy-4.4.2-py35_0.tar.bz2
147,"{'', '.sh', '.txt', '.png', '.ico', '.py', '.rendered', '.pyc', '.json', '.bat', '.yaml'}",xonsh-0.4.4-py34_1.tar.bz2
148,"{'', '.txt', '.py', '.so', '.pyc', '.egg-info', '.json', '.yaml', '.template'}",gitdb-0.6.4-py36_1.tar.bz2
149,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template', '.pth'}",reprounzip-vagrant-1.0.9-py27_0.tar.bz2
