,ext,name
115,"{'', '.json', '.yaml', '.sh', '.cmake', '.h', '.bat', '.txt', '.template', '.a'}",cryptopp-5.6.5-0.tar.bz2
116,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",px4tools-0.4.5-py35_0.tar.bz2
117,"{'', '.json', '.yaml', '.sh', '.cmake', '.h', '.gz', '.txt', '.conf', '.i', '.template', '.dylib', '.so', '.py', '.pyc', '.pc'}",fenics-2017.1.0-py36_4.tar.bz2
118,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",hiveplot-0.1.8.4-py35_0.tar.bz2
119,"{'', '.json', '.yaml', '.txt', '.js', '.rendered', '.py', '.pyc'}",django-jquery-3.1.0-py27_0.tar.bz2
120,"{'', '.c', '.json', '.yaml', '.sh', '.bat', '.txt', '.patch', '.dylib', '.rendered', '.fmu', '.so', '.py', '.pyc', '.egg-info'}",pyfmi-2.3.1-np110py27_0.tar.bz2
121,"{'', '.json', '.yaml', '.sh', '.bat', '.pem'}",ca-certificates-2016.2.28-1.tar.bz2
122,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",av-0.3.3-py27_0.tar.bz2
123,"{'', '.json', '.yaml', '.txt', '.py', '.mako', '.pyc'}",alembic-0.8.7-py34_1.tar.bz2
124,"{'', '.yaml', '.json', '.ini', '.cfg', '.txt', '.bat', '.template', '.pxi', '.so', '.py', '.npy', '.pyx', '.pyc', '.pxd'}",qutip-4.0.2-np111py36_1.tar.bz2
125,"{'', '.json', '.yaml', '.sh', '.h', '.rendered', '.a'}",g2clib-1.6.0-0.tar.bz2
126,"{'', '.json', '.yaml', '.h', '.txt', '.rendered', '.so', '.py', '.pyc', '.pxd'}",sklearn-contrib-lightning-0.4.0-np111py27_0.tar.bz2
127,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.js', '.rst', '.rendered', '.py', '.pyc', '.css'}",ipyparallel-5.2.0-py27_1.tar.bz2
128,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",twine-1.8.1-py35_0.tar.bz2
129,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.so', '.py', '.pyc'}",python-confluent-kafka-0.9.4-py27_0.tar.bz2
130,"{'', '.json', '.yaml', '.svg', '.ttf', '.template', '.txt', '.conf', '.js', '.css_t', '.html', '.pyc', '.woff', '.png', '.eot', '.js_t', '.py', '.woff2', '.map', '.css'}",sphinx_bootstrap_theme-0.5.1-py27_0.tar.bz2
131,"{'', '.bz2', '.json', '.yaml', '.h5', '.xlsm', '.xlsx', '.gz', '.txt', '.pickle', '.sas7bdat', '.html', '.rendered', '.so', '.xpt', '.csv', '.dta', '.py', '.xls', '.pyc', '.msgpack'}",pandas-0.19.2-np111py27_0.tar.bz2
132,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",owslib-0.13.0-py35_0.tar.bz2
133,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",aubio-0.4.4-np111py36_6.tar.bz2
134,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.js', '.pyc', '.py', '.map'}",pythreejs-0.2.0-py34_0.tar.bz2
135,"{'', '.json', '.yaml', '.template', '.txt', '.pth', '.so', '.py', '.pyc'}",ruamel.yaml-0.15.18-py27_0.tar.bz2
136,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",salib-1.0.1-py27_0.tar.bz2
137,"{'', '.json', '.yaml', '.sh', '.cmake', '.h', '.bat', '.txt', '.template', '.dylib', '.html', '.hxx', '.ico', '.so', '.py', '.diff', '.pyc', '.css'}",vigra-1.11.1-np112py36_2.tar.bz2
138,"{'', '.npz', '.json', '.sh', '.yaml', '.bat', '.txt', '.patch', '.dbf', '.rendered', '.so', '.shp', '.jpg', '.png', '.TXT', '.py', '.shx', '.nc', '.pyc'}",cartopy-0.14.2-np110py35_1.tar.bz2
139,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",requests-2.17.3-py35_0.tar.bz2
140,"{'', '.c', '.json', '.yaml', '.fragmentshader', '.h', '.txt', '.js', '.html', '.rendered', '.so', '.png', '.py', '.cu', '.vertexshader', '.pyx', '.pyc', '.pxd', '.css'}",yt-3.3.2-np110py27_2.tar.bz2
141,"{'', '.json', '.yaml', '.so', '.py', '.pyc', '.egg-info'}",regex-2016.07.21-py35_0.tar.bz2
142,"{'', '.c', '.json', '.yaml', '.bim', '.txt', '.template', '.fam', '.so', '.bed', '.py', '.pyc'}",pandas-plink-1.1.6-py35_0.tar.bz2
143,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",munch-2.0.4-py36_0.tar.bz2
144,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",factory_boy-2.8.1-py36_0.tar.bz2
145,"{'', '.c', '.json', '.yaml', '.h', '.template', '.txt', '.so', '.py', '.pyc'}",python-levenshtein-0.12.0-py36_0.tar.bz2
146,"{'', '.json', '.yaml', '.sh', '.h', '.bat', '.dylib', '.rendered', '.py'}",kealib-1.4.6-2.tar.bz2
147,"{'', '.1', '.yaml', '.json', '.sh', '.h', '.dylib', '.rendered', '.m4', '.a', '.la', '.pc'}",libdap4-3.18.2-0.tar.bz2
148,"{'', '.json', '.yaml', '.tmpl', '.bat', '.txt', '.py', '.pyc'}",conda-smithy-1.1.0-py34_0.tar.bz2
149,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc', '.egg-info'}",gitdb-0.6.4-py36_1.tar.bz2
150,"{'', '.json', '.yaml', '.template', '.txt', '.dat', '.py', '.pyc'}",ftfy-4.4.2-py35_0.tar.bz2
151,"{'', '.json', '.yaml', '.sh', '.cmake', '.h', '.template', '.dylib', '.html', '.hxx', '.ico', '.so', '.py', '.pyc', '.css'}",vigra-1.11.0-np111py34_10.tar.bz2
152,"{'', '.json', '.yaml', '.template', '.txt', '.pth', '.py', '.pyc'}",reprounzip-vagrant-1.0.9-py27_0.tar.bz2
153,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",mu_repo-1.5.0-py36_0.tar.bz2
154,"{'', '.json', '.yaml', '.template', '.py', '.pyc', '.egg-info'}",pysocks-1.5.7-py36_0.tar.bz2
155,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.ico', '.png', '.py', '.pyc'}",xonsh-0.4.4-py34_1.tar.bz2
156,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",tempita-0.5.3dev-py27_0.tar.bz2
157,"{'', '.json', '.yaml', '.svg', '.sh', '.ttf', '.gif', '.bat', '.txt', '.template', '.js', '.html', '.ts', '.pyc', '.woff', '.eot', '.manifest', '.py', '.woff2', '.map', '.css'}",jupyterlab-0.17.0-py35_0.tar.bz2
158,"{'', '.json', '.yaml', '.template', '.txt', '.exr', '.spdx', '.csv', '.png', '.py', '.pyc'}",colour-science-0.3.8-py35_0.tar.bz2
159,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",boltons-17.1.0-py36_0.tar.bz2
160,"{'', '.c', '.json', '.yaml', '.sh', '.h', '.bat', '.txt', '.template', '.pxi', '.so', '.py', '.pyc', '.pxd'}",pyzmq-16.0.2-py35_2.tar.bz2
161,"{'', '.json', '.yaml', '.txt', '.rendered', '.test', '.py', '.pyc'}",pytest-3.0.5-py27_0.tar.bz2
162,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",oauth2client-2.2.0-py34_0.tar.bz2
163,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",misaka-2.1.0-py27_0.tar.bz2
164,"{'', '.1', '.json', '.yaml', '.txt', '.py', '.pyc'}",qrcode-5.2.2-py35_0.tar.bz2
165,"{'', '.json', '.yaml', '.sh', '.tmpl', '.h', '.template', '.txt', '.so', '.capnp', '.py', '.pyx', '.pyc', '.pxd'}",pycapnp-0.5.10-py36_0.tar.bz2
166,"{'', '.yaml', '.json', '.svg', '.mustache', '.ttf', '.txt', '.js', '.html', '.rendered', '.xml', '.ico', '.woff', '.png', '.eot', '.py', '.woff2', '.pyc', '.css'}",mkdocs-0.16.1-py27_0.tar.bz2
167,"{'', '.json', '.yaml', '.cfg', '.txt', '.pth', '.py_tmpl', '.py', '.pyc'}",pastescript-2.0.2-py27_0.tar.bz2
168,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pytools-2017.3-py35_0.tar.bz2
169,"{'', '.1', '.json', '.yaml', '.sh', '.h', '.7', '.pdf', '.patch', '.txt', '.dtd', '.rendered', '.supp', '.a', '.la', '.pc', '.3'}",libhwloc-1.11.4-2.tar.bz2
170,"{'', '.h5', '.mdcrdbox', '.parm7', '.txt', '.so', '.mdp', '.xpsf', '.hoomdxml', '.h', '.prmtop', '.arc', '.rendered', '.rst7', '.trr', '.crd', '.lammpstrj', '.dtr', '.pdb', '.nc', '.json', '.yaml', '.psf', '.dcd', '.mdcrd', '.gz', '.xtc', '.js', '.gro', '.xml', '.lh5', '.xyz', '.a', '.pyc', '.bz2', '.xvg', '.mol2', '.md', '.binpos', '.dat', '.py'}",mdtraj-1.7.2-np110py35_0.tar.bz2
171,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",podaacpy-1.4.0-py27_0.tar.bz2
172,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.js', '.rendered', '.py', '.pyc', '.css'}",nbexamples-0.2.0-py34_0.tar.bz2
173,"{'', '.json', '.yaml', '.bat', '.txt', '.py', '.pyc'}",geojson-1.3.2-py34_0.tar.bz2
174,"{'', '.txt', '.so', '.c', '.sh', '.h', '.patch', '.rendered', '.f', '.json', '.ini', '.npz', '.pkl', '.yaml', '.cfg', '.bat', '.npy', '.f90', '.a', '.pyc', '.py', '.fits'}",numpy-1.11.3-py36_blas_openblas_200.tar.bz2
175,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",gunicorn-19.7.1-py27_0.tar.bz2
176,"{'', '.txt', '.exe', '.so', '.sample', '.local', '.config', '.c', '.sh', '.h', '.ctypes', '.patch', '.def', '.png', '.pc', '.o', '.json', '.yaml', '.5m', '.in', '.bat', '.cfg', '.py-e', '.a', '.pyc', '.css', '.icns', '.1', '.gif', '.csh', '.template', '.fish', '.5', '.pickle', '.rst', '.html', '.dylib', '.5-config', '.ico', '.5m-config', '.py', '.pyw'}",python-3.5.3-2.tar.bz2
